Time,Pump_frequency,Thermophant_reading,Cerabar_reading,Promass_reading,Ambient_temperature,Ambient_humidity,Trime_moist,Trime_transit_time,Trime_pseudo_time,Trime_moist_1,Trime_transit_time_1,Trime_pseudo_time_1
"Fri, 09 Apr 2021 16:10:09 +0000",100,26.190022848438634,0.027443548387096874,0.22610638585074,27.73975738155184,22.661173418783857,91.62999725341797,2908.39306640625,966.6159057617188,52.540000915527344,4485.7333984375,976.38671875
"Fri, 09 Apr 2021 16:10:25 +0000",100,26.227335822912256,0.027377688172043106,0.2270140365008692,27.69703212024109,22.595559624628063,91.69000244140625,2909.21875,967.6817016601562,52.54999923706055,4485.74853515625,976.396240234375
"Fri, 09 Apr 2021 16:10:41 +0000",100,26.219044050806996,0.02723521505376353,0.22731580087286046,27.795834287022203,22.73289082169833,91.7699966430664,2910.359375,965.8925170898438,52.529998779296875,4483.16015625,974.7958984375
"Fri, 09 Apr 2021 16:10:57 +0000",100,26.229639092941504,0.027319892473118404,0.2277684474308471,27.950713359273664,22.549782558937974,91.80000305175781,2909.5322265625,967.0524291992188,52.529998779296875,4482.80126953125,974.573974609375
"Fri, 09 Apr 2021 16:11:13 +0000",100,26.25796931430111,0.027352150537634526,0.22771658167941108,28.02014190890364,22.60166323338674,91.66000366210938,2908.8857421875,966.6686401367188,52.63999938964844,4482.9345703125,974.656494140625
"Fri, 09 Apr 2021 16:11:28 +0000",100,26.30771994693261,0.02727284946236568,0.2262454803659546,28.150988021667814,22.284275577935453,91.72000122070312,2909.689208984375,966.2656860351562,52.529998779296875,4483.4814453125,974.99462890625
"Fri, 09 Apr 2021 16:11:45 +0000",100,26.325915780163566,0.027317204301075346,0.2270470419790559,28.164339665827427,22.189669642175936,91.83000183105469,2911.071533203125,966.4933471679688,52.56999969482422,4485.6298828125,976.32275390625
"Fri, 09 Apr 2021 16:12:01 +0000",100,26.363459081640126,0.027357526881720478,0.22735352141935947,28.193713282978564,22.285801480125123,91.72000122070312,2909.57470703125,966.3224487304688,52.630001068115234,4485.6298828125,976.32275390625
"Fri, 09 Apr 2021 16:12:16 +0000",100,26.392019630002704,0.02731720430107534,0.22742660497820086,28.305867093919275,22.16678110933089,91.80999755859375,2910.88720703125,966.7922973632812,52.61000061035156,4485.09765625,975.99365234375
"Fri, 09 Apr 2021 16:12:32 +0000",100,26.406530231186867,0.027043010752688248,0.22741245977326366,28.263141832608525,22.243076218814373,91.62999725341797,2908.42822265625,966.5968627929688,52.529998779296875,4482.8603515625,974.610595703125
